lemme_see_u_wop,3478,10,3,11,24,1,4,
Doub1eDose,5677,24,10,9,40,7,10,
JKash,2689,7,3,10,20,0,4,
MrMan492,3986,12,7,10,28,2,4,
bgnord,2345,4,4,12,18,0,4,
McQueen,3272,3,12,13,20,0,4,
